,Date,sars_cov2_rna [gc/(d*100000 capita)],median_7d_sars_cov2_rna [gc/(d*100000 capita)],new_cases [1/(d*100000 capita)],median_7d_new_cases [1/(d*100000 capita)],"quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}]",flow [m^3/d]
0,2020-10-01,,,14.424807218683654,8.793319889596603,,134097.0
1,2020-10-02,,,14.990993645435244,8.793319889596603,,132582.0
2,2020-10-03,,,16.233736186836516,13.719515874734608,,269379.0
3,2020-10-04,,,3.923263388535033,13.719515874734608,,191744.0
4,2020-10-05,,,12.739800242038218,13.719515874734608,,178771.0
5,2020-10-06,,,15.531303749469211,14.424807218683654,,156324.0
6,2020-10-07,,,18.78380125902336,14.990993645435244,,194917.0
7,2020-10-08,,,25.94150084288747,15.531303749469211,,145808.0
8,2020-10-09,,,31.203909188959663,16.233736186836516,,131396.0
9,2020-10-10,,,21.48475052016985,18.78380125902336,,220637.0
10,2020-10-11,,,10.599744857749467,18.78380125902336,,193444.0
11,2020-10-12,,,23.069667951167727,21.48475052016985,,145852.0
12,2020-10-13,,,34.35975599575372,23.069667951167727,,137470.0
13,2020-10-14,,,44.929795811040336,25.94150084288747,,133326.0
14,2020-10-15,,,39.62243829936306,31.203909188959663,,131701.0
15,2020-10-16,,,49.05973799363058,34.35975599575372,,191874.0
16,2020-10-17,,,39.15090894692144,39.15090894692144,,162534.0
17,2020-10-18,,,13.275558917197452,39.15090894692144,,126678.0
18,2020-10-19,,,51.61592491082803,39.62243829936306,,134553.0
19,2020-10-20,,,56.38563977494693,44.929795811040336,,134055.0
20,2020-10-21,,,71.87852229511677,49.05973799363058,,134665.0
21,2020-10-22,,,62.64116941401273,51.61592491082803,,133631.0
22,2020-10-23,,,68.74263677282379,56.38563977494693,,331454.0
23,2020-10-24,,,82.31777342250531,62.64116941401273,,240721.0
24,2020-10-25,,,29.59128366029724,62.64116941401273,,163464.0
25,2020-10-26,,,71.54020980254778,68.74263677282379,,311388.0
26,2020-10-27,,,86.79283912526539,71.54020980254778,,231917.0
