,Date,sars_cov2_rna [gc/(d*100000 capita)],median_7d_sars_cov2_rna [gc/(d*100000 capita)],new_cases [1/(d*100000 capita)],median_7d_new_cases [1/(d*100000 capita)],"quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}]",flow [m^3/d]
0,2020-10-01,,,4.5378320937500005,3.120597359375,,
1,2020-10-02,,,13.766065875,4.5378320937500005,,
2,2020-10-03,,,6.017861796875001,6.017861796875001,,
3,2020-10-04,,,0.0,6.017861796875001,,
4,2020-10-05,,,5.874706140625,5.874706140625,,
5,2020-10-06,,,6.160159875,5.874706140625,,
6,2020-10-07,,,8.99045996875,6.017861796875001,,
7,2020-10-08,,,8.9936274375,6.160159875,,
8,2020-10-09,,,10.757756609375,6.160159875,,
9,2020-10-10,,,8.128220093749999,8.128220093749999,,
10,2020-10-11,,,7.709159406250001,8.128220093749999,,
11,2020-10-12,,,15.4061755625,8.99045996875,,
12,2020-10-13,,,33.723776296875,8.9936274375,,
13,2020-10-14,,,16.508124078125,10.757756609375,,
14,2020-10-15,,,27.22641359375,15.4061755625,,
15,2020-10-16,,,30.932892890625,16.508124078125,,
16,2020-10-17,,,10.35897803125,16.508124078125,,
17,2020-10-18,,,9.222602078125,16.508124078125,,
18,2020-10-19,,,48.444031390625,27.22641359375,,
19,2020-10-20,,,60.781886234375,27.22641359375,,
20,2020-10-21,,,47.413633843750006,30.932892890625,,
21,2020-10-22,,,42.243270703125006,42.243270703125006,,
22,2020-10-23,,,71.596772234375,47.413633843750006,,
23,2020-10-24,,,11.6929323125,47.413633843750006,,
24,2020-10-25,,,15.799252124999995,47.413633843750006,,
25,2020-10-26,,,124.602898359375,47.413633843750006,,
26,2020-10-27,,,83.21806270312499,47.413633843750006,,
27,2020-10-28,,,84.06229304687501,71.596772234375,,
28,2020-10-29,,,64.35210768750001,71.596772234375,,
29,2020-10-30,,,68.893054296875,68.893054296875,,
30,2020-10-31,,,24.948051390625004,68.893054296875,,22900.0
31,2020-11-01,,,7.496251609375,68.893054296875,,
32,2020-11-02,,,145.067029328125,68.893054296875,,
33,2020-11-03,,,89.5129073125,68.893054296875,,29080.0
34,2020-11-04,,,79.5999055,68.893054296875,,
35,2020-11-05,,,53.71277198437499,68.893054296875,,21100.0
36,2020-11-06,,,70.981496109375,70.981496109375,,
37,2020-11-07,,,16.201992484374998,70.981496109375,,
38,2020-11-08,,,8.684716453125,70.981496109375,,18030.0
