,A.2.5,AY.1,AY.2,AY.3,B.1,B.1.1,B.1.1.519,B.1.1.529,B.1.1.7,B.1.2,B.1.234,B.1.243,B.1.351,B.1.427,B.1.429,B.1.525,B.1.526,B.1.526.1,B.1.526.2,B.1.596,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,B.1.621.1,B.1.626,B.1.628,BA.1.1,BA.2,BA.2.12.1,BA.2.75,BA.2.75.2,BA.2.86,BA.4,BA.4.6,BA.5,BA.5.2.6,BF.11,BF.7,BN.1,BQ.1,BQ.1.1,CH.1.1,EG.5,EG.5.1.8,EG.6.1,EU.1.1,FD.1.1,FD.2,FE.1.1,FL.1.5.1,GE.1,GK.1.1,GK.2,HF.1,HK.3,HV.1,JD.1.1,JF.1,JG.3,JN.1,JN.1.11.1,JN.1.13,JN.1.13.1,JN.1.16,JN.1.16.1,JN.1.18,JN.1.18.6,JN.1.32,JN.1.4.3,JN.1.7,JN.1.8.1,KP.1.1,KP.1.1.3,KP.1.2,KP.2,KP.2.15,KP.2.3,KP.3,KP.3.1.1,KP.4.1,KQ.1,KS.1,KV.2,KW.1.1,LB.1,LB.1.3.1,LF.3.1,LF.7,LP.1,LP.8.1,MC.1,MC.10.1,MC.19,NA,Other,P.1,P.2,R.1,XBB,XBB.1.16,XBB.1.16.1,XBB.1.16.11,XBB.1.16.15,XBB.1.16.17,XBB.1.16.6,XBB.1.42.2,XBB.1.5,XBB.1.5.1,XBB.1.5.10,XBB.1.5.59,XBB.1.5.68,XBB.1.5.70,XBB.1.5.72,XBB.1.9.1,XBB.1.9.2,XBB.2.3,XBB.2.3.8,XDP,XDV.1,XEC,XEC.4,XEK
2021-01-02,,,,,0.0532323941588401,,0.0050775185227394,,0.0,0.4572935402393341,0.0445158928632736,0.0172160100191831,0.0,0.0050775185227394,0.0082373926416039,0.0,0.0,,,0.1589085757732391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2400981336832046,0.0,0.0103430263698101,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,,,,,0.05320074755166251,,0.005038547163297007,,0.00044495283093835,0.45807910178388866,0.04457106042121136,0.017837446049920092,0.00013933478788073571,0.005834712779947678,0.008735939860343886,0.0,0.00023494296640689285,,,0.15599717785205158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23975669166871474,0.0,0.010129347510103663,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,,,,,0.05316910094448492,,0.004999575803854614,,0.0008899056618767,0.4588646633284432,0.04462622797914911,0.018458882080657085,0.00027866957576147143,0.006591907037155956,0.009234487079083871,0.0,0.0004698859328137857,,,0.15308577993086403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2394152496542249,0.0,0.009915668650397228,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,,,,,0.05313745433730732,,0.004960604444412221,,0.00133485849281505,0.45965022487299784,0.044681395537086874,0.01908031811139408,0.00041800436364220714,0.0073491012943642355,0.009733034297823857,0.0,0.0007048288992206786,,,0.1501743820096765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23907380763973501,0.0,0.009701989790690792,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,,,,,0.05310580773012973,,0.004921633084969829,,0.0017798113237534,0.4604357864175524,0.04473656309502463,0.019701754142131073,0.0005573391515229429,0.008106295551572513,0.010231581516563842,0.0,0.0009397718656275714,,,0.14726298408848895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23873236562524516,0.0,0.009488310930984357,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,,,,,0.053074161122952136,,0.004882661725527436,,0.00222476415469175,0.46122134796210695,0.04479173065296239,0.020323190172868065,0.0006966739394036786,0.008863489808780791,0.010730128735303828,0.0,0.0011747148320344642,,,0.14435158616730143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2383909236107553,0.0,0.00927463207127792,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,,,,,0.05304251451577455,,0.004843690366085043,,0.0026697169856301,0.4620069095066615,0.04484689821090014,0.020944626203605057,0.0008360087272844143,0.009620684065989071,0.011228675954043813,0.0,0.0014096577984413572,,,0.1414401882461139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23804948159626546,0.0,0.009060953211571486,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,,,,,0.05301086790859695,,0.00480471900664265,,0.00311466981656845,0.4627924710512161,0.0449020657688379,0.02156606223434205,0.00097534351516515,0.01037787832319735,0.0117272231727838,0.0,0.00164460076484825,,,0.13852879032492635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2377080395817756,0.0,0.00884727435186505,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,,,,,0.052979221301419355,,0.004765747647200257,,0.0035596226475068,0.4635780325957707,0.04495723332677566,0.022187498265079042,0.0011146783030458857,0.011135072580405627,0.012225770391523786,0.0,0.0018795437312551428,,,0.13561739240373882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23736659756728573,0.0,0.008633595492158613,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,,,,,0.052947574694241765,,0.004726776287757864,,0.00400457547844515,0.46436359414032524,0.045012400884713415,0.022808934295816034,0.0012540130909266215,0.011892266837613906,0.01272431761026377,0.0,0.002114486697662036,,,0.13270599448255127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23702515555279588,0.0,0.008419916632452179,0.0,,,,,,,,,,,,,,,,,,,,,,,,
